ref_date;interval;L50;L100;L200;L250;L500;L1000;L1500;L2000;L2500;L5000,SDATE;INTERVAL;R<50-25%;R<50-75%;R50;R<100-25%;R<100-75%;R100;R<200-25%;R<200-75%;R200;R<250-25%;R<250-75%;R250;R<500-25%;R<500-75%;R500;R<1000-25%;R<1000-75%;R1000;R<1500-25%;R<1500-75%;R1500;R<2000-25%;R<2000-75%;R2000;R<2500-25%;R<2500-75%;R2500;R<5000-25%;R<5000-75%;R5000;SUM_CENTS_PRINCIPAL
04/01/2020;04;295;729;189;267;167;32;6;2;3;0,04/01/2020;04;25;17;38;20;11;126;16;16;52;3;5;50;9;9;28;1;1;6;2;1;2;0;0;0;0;0;0;0;0;0;81574
04/01/2020;05;707;1670;462;588;297;75;14;2;2;0,04/01/2020;05;100;66;119;44;40;347;40;46;144;11;12;146;19;26;84;1;1;13;0;1;5;0;0;0;0;0;2;0;0;0;220198
04/01/2020;06;2844;5738;2146;2210;1258;188;42;5;15;1,04/01/2020;06;483;363;1133;284;214;2220;235;264;920;55;70;927;109;108;495;17;20;86;0;2;22;1;0;1;0;0;10;0;0;0;1355042
04/01/2020;07;4348;9076;3591;3848;2195;379;81;2;38;4,04/01/2020;07;763;563;1981;456;380;3799;396;428;1518;108;115;1523;191;173;822;20;24;142;0;2;26;0;1;4;1;2;13;0;0;1;2236383
04/01/2020;08;4207;9334;3499;3609;2049;307;60;5;26;2,04/01/2020;08;15;2;1;1;1;11;0;1;4;0;0;7;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6926
04/01/2020;09;4243;9002;3280;3597;2037;321;70;3;32;4,04/01/2020;09;5;4;7;1;1;11;0;1;1;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4169
04/01/2020;10;4069;8640;3067;3319;1913;314;62;2;42;2,04/01/2020;10;11;3;5;0;1;15;2;1;8;1;0;11;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8485
04/01/2020;11;3761;8406;2791;3107;1847;265;74;4;21;0,04/01/2020;11;13;1;5;1;1;15;1;0;4;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4383
04/01/2020;12;3829;8064;2649;2990;1678;277;49;3;32;1,04/01/2020;12;11;4;5;1;1;14;0;0;5;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4029
04/01/2020;13;3687;7802;2541;2861;1588;261;50;2;31;1,04/01/2020;13;15;4;1;3;0;10;0;2;2;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4458
04/01/2020;14;3664;8049;2550;2722;1607;258;38;3;17;2,04/01/2020;14;9;1;4;3;2;16;1;0;6;0;0;5;0;0;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8862
04/01/2020;15;3854;8104;2736;2900;1654;255;57;9;29;5,04/01/2020;15;9201;4461;7889;3788;2060;15689;2336;2148;5510;629;505;5913;985;689;3438;168;100;591;19;17;116;8;2;12;0;4;70;0;0;4;9594154
04/01/2020;16;4076;8891;3019;3466;1985;317;55;4;21;1,04/01/2020;16;13548;6906;12251;5957;3202;24308;3699;3195;8173;1001;783;9004;1617;1054;5671;268;183;1022;44;26;201;9;5;20;7;5;123;0;2;6;15191150
04/01/2020;17;4586;9452;3507;3967;2340;326;86;11;45;2,04/01/2020;17;9918;5565;13290;4842;2782;24874;3221;2922;8353;896;804;8984;1329;1060;4809;225;153;802;22;13;187;6;6;15;0;7;73;2;0;6;14055969
04/01/2020;18;6475;13475;5430;6406;3474;539;108;6;59;1,04/01/2020;18;2439;2492;9431;1783;1580;16744;1546;1643;5873;328;548;6353;727;548;2834;96;75;456;5;6;101;3;2;13;0;3;38;0;1;8;8745234
04/01/2020;19;9562;17260;6477;7872;4163;592;112;8;48;4,04/01/2020;19;2776;2766;10174;1988;1735;18470;1748;1960;6228;406;623;7337;827;661;3181;81;75;496;7;15;103;3;1;12;1;1;46;1;1;2;9718517
04/01/2020;20;9089;15771;5560;6878;3521;529;100;12;53;6,04/01/2020;20;2213;2136;7192;1579;1370;13637;1265;1485;4552;311;518;5098;640;503;2497;60;41;367;6;9;70;0;1;6;2;4;53;0;1;1;7220693
04/01/2020;21;6760;12282;3504;5017;2620;405;91;5;36;2,04/01/2020;21;1375;1346;3784;937;825;7675;847;852;2475;208;282;3171;408;278;1460;56;40;233;3;3;51;2;0;6;1;1;39;0;0;0;4275815
04/01/2020;22;4009;7454;1899;3065;1624;276;43;7;18;2,04/01/2020;22;668;606;1477;435;392;3391;382;437;1060;92;134;1436;197;154;727;18;21;109;0;3;23;0;0;2;0;1;9;0;0;0;1941969
04/01/2020;23;1862;3937;852;1519;798;108;26;1;15;0,04/01/2020;23;252;222;427;146;141;1172;121;144;338;32;52;517;81;40;290;10;4;32;0;2;5;0;0;1;0;1;4;0;0;0;678964
05/01/2020;00;906;1934;540;778;397;65;8;3;5;0,05/01/2020;00;141;94;170;77;62;432;55;77;139;6;17;189;32;27;108;3;4;18;0;0;5;0;0;1;1;0;0;0;0;0;277814
05/01/2020;01;473;983;248;396;225;42;6;3;5;0,05/01/2020;01;65;40;90;33;26;228;32;24;78;9;17;105;10;15;54;1;4;12;0;0;0;0;0;0;0;0;0;0;0;0;142193
05/01/2020;02;285;664;163;238;143;27;3;3;2;0,05/01/2020;02;32;19;27;25;18;111;14;17;29;8;6;61;11;4;23;1;1;10;0;0;2;0;0;0;0;1;2;0;0;0;83649
05/01/2020;03;267;578;138;233;128;15;1;2;3;0,05/01/2020;03;29;27;41;17;11;100;9;18;32;4;9;65;8;9;18;1;0;5;0;1;1;0;0;0;0;0;0;0;0;0;68568
05/01/2020;04;298;677;187;283;154;25;3;2;0;0,05/01/2020;04;49;22;34;21;11;115;26;18;41;5;9;54;9;12;28;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;77373
05/01/2020;05;693;1622;404;544;295;68;10;5;4;0,05/01/2020;05;113;58;102;48;39;330;53;38;106;5;13;130;24;19;79;5;3;17;0;1;2;0;0;0;0;0;1;0;0;0;203276
05/01/2020;06;2591;5242;1897;1990;1133;164;38;4;22;1,05/01/2020;06;515;317;1024;281;248;2015;230;238;805;50;73;851;97;88;398;13;13;78;3;0;14;0;0;0;1;1;3;0;1;0;1182700
05/01/2020;07;3917;8347;3410;3754;2162;375;71;3;24;1,05/01/2020;07;1178;978;3326;715;603;6133;644;743;2466;158;211;2467;302;214;1188;43;33;181;4;9;38;1;0;0;2;2;27;0;0;0;3489064
05/01/2020;08;4131;9045;3761;4426;2451;416;78;1;50;5,05/01/2020;08;1542;1389;4523;1014;848;8775;900;969;3199;227;309;3531;415;324;1720;65;46;276;7;4;62;3;0;6;3;1;31;0;0;4;4938195
05/01/2020;09;4072;9101;3794;4445;2539;378;90;2;47;4,05/01/2020;09;1578;1466;4835;1033;911;9653;922;975;3375;203;354;3804;403;412;1976;51;46;298;3;9;68;2;4;10;3;0;33;0;0;0;5350772
05/01/2020;10;4152;9360;3760;4569;2537;364;106;6;45;2,05/01/2020;10;1635;1437;4983;1055;991;9571;885;1049;3472;255;339;3729;430;382;1844;54;33;275;5;7;78;1;0;8;0;3;39;0;0;2;5295405
05/01/2020;11;4394;9819;3911;4711;2648;407;90;4;44;1,05/01/2020;11;1651;1474;5095;1039;961;9608;874;1053;3394;229;361;3781;433;365;1888;57;40;273;3;5;75;4;2;5;1;0;32;0;0;0;5282494
05/01/2020;12;4724;10547;4086;4870;2676;439;73;7;50;1,05/01/2020;12;1708;1620;5347;1135;1004;10198;1011;1016;3595;238;380;3886;472;400;1915;58;40;300;5;6;53;3;0;2;2;1;24;1;0;2;5477135
05/01/2020;13;4918;11096;4350;4995;2720;406;97;10;43;1,05/01/2020;13;1753;1574;5211;1104;1037;10268;1026;1143;3618;248;353;3791;491;363;1891;50;62;291;8;2;62;1;0;12;1;0;26;0;0;2;5487597
05/01/2020;14;5316;11709;4353;5302;2782;419;103;6;54;2,05/01/2020;14;1740;1717;5579;1133;1056;10842;989;1143;3643;253;392;4020;487;418;1935;63;42;319;6;5;87;2;0;9;1;1;42;2;0;1;5780112
05/01/2020;15;5198;11575;4382;4967;2814;424;86;4;30;6,05/01/2020;15;1774;1691;5876;1211;1061;11084;1041;1109;3630;237;380;3947;498;401;1892;53;53;316;8;4;66;2;0;5;1;1;24;0;0;4;5701290
05/01/2020;16;5423;11977;4504;5136;2874;434;91;6;48;3,05/01/2020;16;1872;1860;6192;1245;1135;11601;1022;1202;3958;276;394;4186;488;413;2049;69;55;321;14;6;58;1;1;11;1;1;35;0;0;1;6052164
05/01/2020;17;5681;11999;4842;5417;3014;454;103;4;51;2,05/01/2020;17;2063;1968;7229;1334;1191;12840;1120;1347;4273;293;393;4549;544;473;2181;64;64;343;7;7;75;1;2;8;0;0;36;1;0;3;6596449
05/01/2020;18;7179;14058;5494;6332;3383;553;107;7;42;4,05/01/2020;18;2419;2315;8983;1650;1503;16003;1408;1541;5383;323;534;5689;654;533;2706;68;74;425;6;7;91;2;3;4;4;2;40;1;0;2;8136472
05/01/2020;19;9511;17340;6538;7579;3813;631;121;7;67;3,05/01/2020;19;2755;2788;9671;1831;1687;17761;1609;1797;5734;390;586;6299;719;568;2804;74;82;472;11;4;83;2;2;6;2;2;47;0;0;1;8851506
