datetime,cumulative_balance
2020-01-18 04:00:00,-1411082
2020-01-18 05:00:00,-1406506
2020-01-18 06:00:00,-1396516
2020-01-18 07:00:00,-1395318
2020-01-18 08:00:00,-1401726
2020-01-18 09:00:00,-1410253
2020-01-18 10:00:00,-1417978
2020-01-18 11:00:00,-1424136
2020-01-18 12:00:00,-1419414
2020-01-18 13:00:00,-1414275
2020-01-18 14:00:00,-1410444
2020-01-18 15:00:00,-1415661
2020-01-18 16:00:00,-1423730
2020-01-18 17:00:00,-1434511
2020-01-18 18:00:00,-1450645
2020-01-18 19:00:00,-1465429
2020-01-18 20:00:00,-1468987
2020-01-18 21:00:00,-1465095
2020-01-18 22:00:00,-1458916
2020-01-18 23:00:00,-1453820
2020-01-19 00:00:00,-1450547
2020-01-19 01:00:00,-1448877
2020-01-19 02:00:00,-1447470
2020-01-19 03:00:00,-1446323
2020-01-19 04:00:00,-1445090
2020-01-19 05:00:00,-1441868
2020-01-19 06:00:00,-1434319
2020-01-19 07:00:00,-1433068
2020-01-19 08:00:00,-1437180
2020-01-19 09:00:00,-1443051
2020-01-19 10:00:00,-1448353
2020-01-19 11:00:00,-1453417
2020-01-19 12:00:00,-1457762
2020-01-19 13:00:00,-1461786
2020-01-19 14:00:00,-1464700
2020-01-19 15:00:00,-1470068
2020-01-19 16:00:00,-1475597
2020-01-19 17:00:00,-1483882
2020-01-19 18:00:00,-1495443
2020-01-19 19:00:00,-1506061
2020-01-19 20:00:00,-1507054
2020-01-19 21:00:00,-1501333
2020-01-19 22:00:00,-1494656
2020-01-19 23:00:00,-1490162
2020-01-20 00:00:00,-1487494
2020-01-20 01:00:00,-1486157
2020-01-20 02:00:00,-1485166
2020-01-20 03:00:00,-1484124
2020-01-20 04:00:00,-1482826
2020-01-20 05:00:00,-1479635
2020-01-20 06:00:00,-1473845
2020-01-20 07:00:00,-1476476
2020-01-20 08:00:00,-1486103
2020-01-20 09:00:00,-1497660
2020-01-20 10:00:00,-1509035
2020-01-20 11:00:00,-1517954
